Title,Handle,Body (HTML),URL
#2 x 6in. 60-Penny Bright Steel Smooth Shank Common Nails (50 lb.-Pack),2-x-6in-60-penny-bright-steel-smooth-shank-common-nails-(50-lb-pack),"<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>For general construction, including carpentry, and framing</span></li><li data-testid=""bullet-list-item""><span>Larger shank for more strength and resistance to bending</span></li><li data-testid=""bullet-list-item""><span>Most popular style of nail</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>For the most comprehensive selection of nails look for Grip-Rite, the most popular brand of fasteners in America. No matter what the project or what size the job, Grip-Rite has the optimal fastening solution. There are many sizes and styles of nails available. As construction materials and techniques evolve, fastener design keeps pace with the changing technology. Fastener needs vary from project to project and the safety and life expectancy of the project can be extended or compromised based upon the fastener used.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Use to secure railroad ties, landscaping timbers and thick members used in log-home construction</span></li><li data-testid=""bullet-list-item""><span>Made of steel</span></li><li data-testid=""bullet-list-item""><span>Bright finish</span></li><li data-testid=""bullet-list-item""><span>Large shank</span></li><li data-testid=""bullet-list-item""><span>Flat head</span></li><li data-testid=""bullet-list-item""><span>Diamond point</span></li><li data-testid=""bullet-list-item""><span>Includes 500 spikes</span></li><li data-testid=""bullet-list-item""><span><a href=""https://www.homedepot.com/c/ab/types-of-nails/9ba683603be9fa5395fab909c451e98"" target=""_blank"">Not sure what type of nail you need? Check out our helpful buying guide here.</a></span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li><li data-testid=""bullet-list-item""><div class=""sui-flex sui-flex-row""><div>California residents</div>&nbsp;<div><a class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">see Prop 65 WARNINGS</a></div></div></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 100192956</span><span><span>Internet #:</span> 764666132597</span><span><span>Model #:</span> 60C</span></div>",https://www.homedepot.com/p/Grip-Rite-2-x-6in-60-Penny-Bright-Steel-Smooth-Shank-Common-Nails-50-lb-Pack-60C/100192956
Grab Bar Fastener Refined Engineered Safety RES (Set of 2),grab-bar-fastener-refined-engineered-safety-res-(-set-of-2),"<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Fire retardant design great in new and existing construction</span></li><li data-testid=""bullet-list-item""><span>Installs in less than 10 minutes</span></li><li data-testid=""bullet-list-item""><span>For commercial, institutional and residential applications</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>Rated up to 600 lbs. in drywall with tile. The RES incorporates the World's Strongest Fastener Technology, to allow for quick installation of WingIts Grab Bars. Cost effective, the RES is fire retardant and installs completely waterproof in New and Existing construction. The RES is used extensively in Commercial, Institutional and Residential Grab Bar Installations. No blocking or Wall Studs Required. Average time to install a Grab Bar is less than 10-minutes. Fire-Retardant and Waterproof. Compatible with WingIts Grab Bars. When installing the RES into Ceramic Wall Tile, Plaster or Marble, use the Apache200 drill technology for quick, precise holes. 3/4 in. Holes Required. No caulk needed - self waterproofing. Designed for 2 in. x 3 or larger hollow walls and wall substrates from 5/8 in - 1.2 in. thick. Exceeds all Building Codes and ADA Guidelines. Installs 1 WingIts Grab Bar.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Exceeds all building codes and ADA guidelines</span></li><li data-testid=""bullet-list-item""><span>Self-waterproofing</span></li><li data-testid=""bullet-list-item""><span>Installs in minutes - lasts a lifetime</span></li><li data-testid=""bullet-list-item""><span>No blocking or studs needed</span></li><li data-testid=""bullet-list-item""><span>Install a grab bar exactly where you want it - exactly where you need it</span></li><li data-testid=""bullet-list-item""><span>Guaranteed to never loosen</span></li><li data-testid=""bullet-list-item""><span><a href=""https://www.homedepot.com/c/ab/how-to-choose-drywall-anchors/9ba683603be9fa5395fab90075295b6 in. target="" _blank""="""">Learn more about drywall anchors here.</a></span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 202552917</span><span><span>Internet #:</span> 811175010240</span><span><span>Model #:</span> RC-RESGBW35-2</span></div>",https://www.homedepot.com/p/WingIts-Grab-Bar-Fastener-Refined-Engineered-Safety-RES-Set-of-2-RC-RESGBW35-2/202552917
1-1/2 in. x 1/2 in. 6/24 Workbench Mounting Strips Black (20 Sets),1-12-in-x-12-in-624-workbench-mounting-strips-black-(20-sets),"<div class=""sui-flex sui-flex-col sui-gap-4""><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>Indoors, outdoors, smooth surface, rough surface, VELCRO Brand Workbench Mounting Tape is your best choice for mounting surge protectors, tools, or anything that absolutely, positively needs to stay put. Our Workbench Mounting Tape uses an aggressive hook-to-hook technology that closes with a snap. The foam tape adhesive easily conforms to smooth or rough surfaces and uses a strong adhesive with a wide temperature range for semi-permanent mounting indoors or out. Available in 18 in. or 36 in. L or 10 ft. rolls that you can cut to size, the Workbench Mounting Tape will help you mount almost anything. And it's also available in convenient pre-cut squares for smaller, quick mounting jobs. Isn't it time to mount those tools and get those surge protectors up off the floor. VELCRO Brand Workbench Mounting Tape will make quick work organizing your workbench and more. Just 1 more innovation to make your life easier and more organized. VELCRO Brand Workbench Mounting Tape.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>PERFECT FOR GARAGE ORGANIZATION APPLICATIONS: Featuring easy-to-use snap-lock technology, the strong, self-engaging tape snaps in place when firmly pressed together; an audible click alerts when it's securely joined</span></li><li data-testid=""bullet-list-item""><span>SNAP CLOSURE FOAM MOUNTING TAPE: Snap-lock technology snaps together for an incredibly strong hold</span></li><li data-testid=""bullet-list-item""><span>HEAVY DUTY MOUNTING TAPE FOR EXTREME TEMPERATURES: strong staying power even in extreme weather conditions; water and UV resistance keeps them firmly in place during rain, snow, or sweltering heat</span></li><li data-testid=""bullet-list-item""><span>VERSATILE FOAM MOUNTING TAPE: Ideal for a broad range of surfaces and applications; adheres to smooth or textured (mildly rough) surfaces, including metal, wood, glass, vinyl and concrete; not recommended for use on drywall</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 325718944</span><span><span>Internet #:</span> 075967308261</span><span><span>Model #:</span> VEL-30826-USA</span></div>",https://www.homedepot.com/p/VELCRO-1-1-2-in-x-1-2-in-6-24-Workbench-Mounting-Strips-Black-20-Sets-VEL-30826-USA/325718944
Power Cord Wraps 16 in. x 1 in. Black and Grey with Blue Slotted Grommet 2 ct. 6/24,power-cord-wraps-16-in-x-1-in-black-and-grey-with-blue-slotted-grommet-2-ct-624,"<div class=""sui-flex sui-flex-col sui-gap-4""><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>Never get stuck untangling cords again! VELCRO Brand Power Cord Wraps are the perfect extension cord organizer that offers strength, durability, and easy use. These storage straps are perfect to use as power cord wraps, holiday lights, camping gear, pool equipment and so much more. The options for organization are endless with this versatile wrap. The VELCRO Brand Power Cord Wraps feature a reinforced grommet for a strong hold power and engagement. Find what you need, when you need it whether in your garage, workroom, or attic. VELCRO Brand Power Cord Wraps make organization a cinch.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>CONTROL YOUR CORDS: Get organized quickly and easily with extension cord organizer straps. Use these storage straps for cords, cables, rope and decorations. Easily find what you need without the tangles and mess by using a cord wrap.</span></li><li data-testid=""bullet-list-item""><span>REINFORCED DURABILITY: These power cord wraps are designed to work for you with extra engagement and holding power with a reinforced head for strong cinching.</span></li><li data-testid=""bullet-list-item""><span>ZIP TIE ALTERNATIVE: Use these hook and loop power cords straps again and again and avoid one time use fasteners like zip ties. No more cutting plastic and throwing them away.</span></li><li data-testid=""bullet-list-item""><span>VERSATILE: Think beyond power cord wraps, these wraps can be used for holiday lights, camping gear, pool hoses, and so much more!</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 325718948</span><span><span>Internet #:</span> 075967308292</span><span><span>Model #:</span> VEL-30829-USA</span></div>",https://www.homedepot.com/p/VELCRO-Power-Cord-Wraps-16-in-x-1-in-Black-and-Grey-with-Blue-Slotted-Grommet-2-ct-6-24-VEL-30829-USA/325718948
#8 x 2-1/2 in. Star Drive Washer Head Cabinet Wood Screw (330-Piece per Pack),8-x-2-12-in-star-drive-washer-head-cabinet-wood-screw-(330-piece-per-pack),"<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Quick and Secure Installation</span></li><li data-testid=""bullet-list-item""><span>Washer style head seats flush and increases holding power</span></li><li data-testid=""bullet-list-item""><span>Zero stripping star drive head (bit included)</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>GRK Fasteners Cabinet screws are designed specifically for use in cabinet construction and installation. Manufactured in a #8 (4 mm) Dia., these screws are thin enough to prevent most material from splitting while offering sufficient strength to provide strong and secure mounts. The washer head design presses flush against any material surface. The Zip-Tip eliminates the need to pre-drill.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Use for cabinet construction and installation</span></li><li data-testid=""bullet-list-item""><span>Flat low-profile washer head design for increased surface holding</span></li><li data-testid=""bullet-list-item""><span>Zip-tip allows for no-pre-drilling and 1-step application</span></li><li data-testid=""bullet-list-item""><span>W-cut thread design</span></li><li data-testid=""bullet-list-item""><span>No pre-drilling required</span></li><li data-testid=""bullet-list-item""><span>Climatek coating is AC257 code approved for use in treated lumber</span></li><li data-testid=""bullet-list-item""><span>Star drive eliminates stripping for improved productivity</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 203533433</span><span><span>Internet #:</span> 628611100799</span><span><span>Model #:</span> 110079</span></div>",https://www.homedepot.com/p/GRK-Fasteners-8-x-2-1-2-in-Star-Drive-Washer-Head-Cabinet-Wood-Screw-330-Piece-per-Pack-110079/203533433
20 ft. x 1-1/2 in. Industrial Strength Tape in Black,20-ft-x-1-12-in-industrial-strength-tape-in-black,"<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Heavy-duty tape suitable for indoor and outdoor use</span></li><li data-testid=""bullet-list-item""><span>Easily secures to smooth surfaces</span></li><li data-testid=""bullet-list-item""><span>Adhesive backing allows easy setup</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>Industrial Strength 20 ft. x 1-1/2 in. VELCRO Tape provides dependable holding power for heavy-duty indoor/outdoor use. Featuring a molded plastic hook and a heavy-duty, water-resistant adhesive for superior holding power.VELCRO Brand Heavy Duty fasteners are the most versatile tool in your stash. Need to organize your supplies? Heavy Duty Industrial Strength fasteners to the rescue. Sometimes big ideas need a more powerful fastener. When you need more power and versatility to make an idea come to life, VELCRO Brand Industrial Strength fasteners have the all right stuff. Industrial Strength fasteners will stick to most smooth surfaces, powering through humidity and shifts in temperature in places where most fasteners fail. If you can dream it, we can help you make it happen. VELCRO Brand Industrial Strength offers powerful solutions for tough projects. Don't let your to-do list boss you around. Stock your stash with VELCRO Brand Heavy Duty products and be prepared for anything.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>PROFESSIONAL GRADE ADHESIVE FASTENERS: These industrial strength hook and loop fasteners provide strong holding power designed for heavy-duty applications, safely holds up to 10 pounds</span></li><li data-testid=""bullet-list-item""><span>WATER RESISTANCE PROVIDES UNMATCHED VERSATILITY: With heavy-duty strength, these fasteners make the ultimate organization tool for mounting, hanging, storing or securing items indoors or outdoors, adheres to most surfaces in the house and garage</span></li><li data-testid=""bullet-list-item""><span>LONG LASTING DURABILITY: Easy stick-on application is ideal for a broad range of surfaces and applications, special sticky back adhesive provides a secure and long-lasting hold</span></li><li data-testid=""bullet-list-item""><span>DESIGNED FOR TOUGH APPLICATIONS: Super strong, superior holding power allow these adhesives to securely fasten to smooth surfaces including plastic, glass, metal and painted wallboard</span></li><li data-testid=""bullet-list-item""><span>NO TOOLS REQUIRED: No hammer, drilling, nails or epoxy necessary, hook and loop industrial strength fasteners feature an easy peel and stick application, it's the simple solution to organize on many surfaces without putting holes in the wall</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 304727482</span><span><span>Internet #:</span> 075967301187</span><span><span>Model #:</span> VEL-30118-USA</span></div>",https://www.homedepot.com/p/VELCRO-20-ft-x-1-1-2-in-Industrial-Strength-Tape-in-Black-VEL-30118-USA/304727482
VELCRO 1/2 in. W Workbench Mounting Tape 5 ft. of Closure (10 ft. of Tape) 3/12 Black,velcro-12-in-w-workbench-mounting-tape-5-ft-of-closure-(10-ft-of-tape)-312-black,"<div class=""sui-flex sui-flex-col sui-gap-4""><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>Indoors, outdoors, smooth surface, rough surface, VELCRO Brand Workbench Mounting Tape is your best choice for mounting surge protectors, tools or anything that absolutely, positively needs to stay put. Our Workbench Mounting Tape uses an aggressive hook-to-hook technology that closes with a snap. The foam tape adhesive easily conforms to smooth or rough surfaces and uses a strong adhesive with a wide temperature range for semi-permanent mounting indoors or out. Available in 18 in. or 36 in. L or 10 ft. rolls that you can cut to size, the Workbench Mounting Tape will help you mount almost anything. And it's also available in convenient pre-cut squares for smaller, quick mounting jobs. Isn't it time to mount those tools and get those surge protectors up off the floor. VELCRO Brand Workbench Mounting Tape will make quick work organizing your workbench and more. Just 1 more innovation to make your life easier and more organized. VELCRO Brand Workbench Mounting Tape.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Semi-permanent</span></li><li data-testid=""bullet-list-item""><span>Wide temperature range</span></li><li data-testid=""bullet-list-item""><span>Durable</span></li><li data-testid=""bullet-list-item""><span>For smooth or rough surfaces</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 325718946</span><span><span>Internet #:</span> 075967308278</span><span><span>Model #:</span> VEL-30827-USA</span></div>",https://www.homedepot.com/p/VELCRO-1-2-in-W-Workbench-Mounting-Tape-5-ft-of-Closure-10-ft-of-Tape-3-12-Black-VEL-30827-USA/325718946
1-1/2 in. x 1/2 in. 6/24 Workbench Mounting Strips Black (4 Sets),1-12-in-x-12-in-624-workbench-mounting-strips-black-(4-sets),"<div class=""sui-flex sui-flex-col sui-gap-4""><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>Indoors, outdoors, smooth surface, rough surface, VELCRO Brand Workbench Mounting Tape is your best choice for mounting surge protectors, tools, or anything that absolutely, positively needs to stay put. Our Workbench Mounting Tape uses an aggressive hook-to-hook technology that closes with a snap. The foam tape adhesive easily conforms to smooth or rough surfaces and uses a strong adhesive with a wide temperature range for semi-permanent mounting indoors or out. Available in 18 in. or 36 in. L or 10 ft. rolls that you can cut to size, the Workbench Mounting Tape will help you mount almost anything. And it's also available in convenient pre-cut squares for smaller, quick mounting jobs. Isn't it time to mount those tools and get those surge protectors up off the floor. VELCRO Brand Workbench Mounting Tape will make quick work organizing your workbench and more. Just 1 more innovation to make your life easier and more organized. VELCRO Brand Workbench Mounting Tape.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>PERFECT FOR GARAGE ORGANIZATION APPLICATIONS: Featuring easy-to-use snap-lock technology, the strong, self-engaging tape snaps in place when firmly pressed together; an audible click alerts when it's securely joined</span></li><li data-testid=""bullet-list-item""><span>SNAP CLOSURE FOAM MOUNTING TAPE: Snap-lock technology snaps together for an incredibly strong hold</span></li><li data-testid=""bullet-list-item""><span>HEAVY DUTY MOUNTING TAPE FOR EXTREME TEMPERATURES: strong staying power even in extreme weather conditions; water and UV resistance keeps them firmly in place during rain, snow, or sweltering heat</span></li><li data-testid=""bullet-list-item""><span>VERSATILE FOAM MOUNTING TAPE: Ideal for a broad range of surfaces and applications; adheres to smooth or textured (mildly rough) surfaces, including metal, wood, glass, vinyl and concrete; not recommended for use on drywall</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 325718942</span><span><span>Internet #:</span> 075967308247</span><span><span>Model #:</span> VEL-30824-USA</span></div>",https://www.homedepot.com/p/VELCRO-1-1-2-in-x-1-2-in-6-24-Workbench-Mounting-Strips-Black-4-Sets-VEL-30824-USA/325718942
5/16 in. x 4 in. Star Drive Round Head Rugged Structural Wood Screw (45-Piece per-Pack),516-in-x-4-in-star-drive-round-head-rugged-structural-wood-screw-(45-piece-per-pack),"<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Easy to install lag screw alternative</span></li><li data-testid=""bullet-list-item""><span>Integrated washer head allows for maximum clamping force</span></li><li data-testid=""bullet-list-item""><span>For interior / exterior use</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>GRK's RSS screw is made out of Climate coated and hardened steel. Its sharp threads and point bite instantly into material (including hardwood), reducing the splitting effect caused by smaller shanks. Its washer type head has no sharp edges like conventional lag screws and the added shoulder underneath the washer has the ability to center the RSS screw in predrilled hardware.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Ideal for ledger boards and more</span></li><li data-testid=""bullet-list-item""><span>Self-tapping</span></li><li data-testid=""bullet-list-item""><span>May be used as a lag screw alternative</span></li><li data-testid=""bullet-list-item""><span>W-cut thread design</span></li><li data-testid=""bullet-list-item""><span>Washer heads for flush installation</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 203525067</span><span><span>Internet #:</span> 628611122258</span><span><span>Model #:</span> 112225</span></div>",https://www.homedepot.com/p/GRK-Fasteners-5-16-in-x-4-in-Star-Drive-Round-Head-Rugged-Structural-Wood-Screw-45-Piece-per-Pack-112225/203525067
#9 x 2-1/2 in. Star Drive Torx Bugle Head R4 Multi-Purpose Wood Screw (300-Pack),9-x-2-12-in-star-drive-torx-bugle-head-r4-multi-purpose-wood-screw-(300-pack),"<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Faster Drive for Improved Productivity</span></li><li data-testid=""bullet-list-item""><span>Fast Bite Tip provides a fast start for one-step installation</span></li><li data-testid=""bullet-list-item""><span>For interior / exterior use</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>GRKs R4 Multi-Purpose Framing Screw has 6 self-contained cutting pockets which act like a router and transport the drill dust away from the edge of the screw hole. They also widen the countersink hole only around the head shape. The screw head top closes the hole exactly, leaving no damaged fibers around the wider area of the head.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>For use in wood, particle-board, cement fiberboard, plastic, sheet metal</span></li><li data-testid=""bullet-list-item""><span>Star drive eliminates stripping for improved productivity</span></li><li data-testid=""bullet-list-item""><span>Zip-Tip allows for no-pre-drilling and 1 step application</span></li><li data-testid=""bullet-list-item""><span>Self-tapping</span></li><li data-testid=""bullet-list-item""><span>No pre-drilling</span></li><li data-testid=""bullet-list-item""><span>No stripped heads</span></li><li data-testid=""bullet-list-item""><span>Common project applications: remodeling, fencing, storage, cabinets, framing</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 203533402</span><span><span>Internet #:</span> 628611001010</span><span><span>Model #:</span> 100101</span></div>",https://www.homedepot.com/p/GRK-Fasteners-9-x-2-1-2-in-Star-Drive-Torx-Bugle-Head-R4-Multi-Purpose-Wood-Screw-300-Pack-100101/203533402
